t = 0.0000, j = 1.0000, k = 0.5000
t = 0.1010, j = 1.0758, k = 0.5000
t = 0.2020, j = 1.1592, k = 0.5038
t = 0.3030, j = 1.2508, k = 0.5115
t = 0.4040, j = 1.3513, k = 0.5230
t = 0.5051, j = 1.4614, k = 0.5384
t = 0.6061, j = 1.5818, k = 0.5578
t = 0.7071, j = 1.7134, k = 0.5814
t = 0.8081, j = 1.8571, k = 0.6092
t = 0.9091, j = 2.0140, k = 0.6414
t = 1.0101, j = 2.1850, k = 0.6784
t = 1.1111, j = 2.3715, k = 0.7202
t = 1.2121, j = 2.5746, k = 0.7672
t = 1.3131, j = 2.7959, k = 0.8198
t = 1.4141, j = 3.0370, k = 0.8782
t = 1.5152, j = 3.2994, k = 0.9428
t = 1.6162, j = 3.5850, k = 1.0142
t = 1.7172, j = 3.8959, k = 1.0929
t = 1.8182, j = 4.2342, k = 1.1792
t = 1.9192, j = 4.6024, k = 1.2740
t = 2.0202, j = 5.0029, k = 1.3777
t = 2.1212, j = 5.4387, k = 1.4912
t = 2.2222, j = 5.9127, k = 1.6153
t = 2.3232, j = 6.4284, k = 1.7507
t = 2.4242, j = 6.9893, k = 1.8986
t = 2.5253, j = 7.5994, k = 2.0598
t = 2.6263, j = 8.2630, k = 2.2355
t = 2.7273, j = 8.9848, k = 2.4271
t = 2.8283, j = 9.7697, k = 2.6357
t = 2.9293, j = 10.6235, k = 2.8629
t = 3.0303, j = 11.5520, k = 3.1102
t = 3.1313, j = 12.5617, k = 3.3795
t = 3.2323, j = 13.6599, k = 3.6726
t = 3.3333, j = 14.8542, k = 3.9915
t = 3.4343, j = 16.1531, k = 4.3385
t = 3.5354, j = 17.5656, k = 4.7161
t = 3.6364, j = 19.1017, k = 5.1269
t = 3.7374, j = 20.7722, k = 5.5737
t = 3.8384, j = 22.5889, k = 6.0598
t = 3.9394, j = 24.5646, k = 6.5886
t = 4.0404, j = 26.7131, k = 7.1637
t = 4.1414, j = 29.0496, k = 7.7892
t = 4.2424, j = 31.5905, k = 8.4696
t = 4.3434, j = 34.3537, k = 9.2096
t = 4.4444, j = 37.3586, k = 10.0143
t = 4.5455, j = 40.6264, k = 10.8896
t = 4.6465, j = 44.1801, k = 11.8415
t = 4.7475, j = 48.0447, k = 12.8767
t = 4.8485, j = 52.2474, k = 14.0025
t = 4.9495, j = 56.8177, k = 15.2269
t = 5.0505, j = 61.7878, k = 16.5584
t = 5.1515, j = 67.1927, k = 18.0064
t = 5.2525, j = 73.0704, k = 19.5811
t = 5.3535, j = 79.4623, k = 21.2937
t = 5.4545, j = 86.4134, k = 23.1561
t = 5.5556, j = 93.9725, k = 25.1814
t = 5.6566, j = 102.1929, k = 27.3839
t = 5.7576, j = 111.1324, k = 29.7791
t = 5.8586, j = 120.8539, k = 32.3839
t = 5.9596, j = 131.4258, k = 35.2165
t = 6.0606, j = 142.9225, k = 38.2969
t = 6.1616, j = 155.4250, k = 41.6469
t = 6.2626, j = 169.0211, k = 45.2899
t = 6.3636, j = 183.8066, k = 49.2515
t = 6.4646, j = 199.8854, k = 53.5598
t = 6.5657, j = 217.3708, k = 58.2449
t = 6.6667, j = 236.3858, k = 63.3399
t = 6.7677, j = 257.0642, k = 68.8806
t = 6.8687, j = 279.5514, k = 74.9060
t = 6.9697, j = 304.0058, k = 81.4585
t = 7.0707, j = 330.5994, k = 88.5842
t = 7.1717, j = 359.5194, k = 96.3333
t = 7.2727, j = 390.9691, k = 104.7602
t = 7.3737, j = 425.1700, k = 113.9243
t = 7.4747, j = 462.3628, k = 123.8900
t = 7.5758, j = 502.8090, k = 134.7275
t = 7.6768, j = 546.7934, k = 146.5131
t = 7.7778, j = 594.6254, k = 159.3296
t = 7.8788, j = 646.6416, k = 173.2673
t = 7.9798, j = 703.2080, k = 188.4242
t = 8.0808, j = 764.7228, k = 204.9070
t = 8.1818, j = 831.6187, k = 222.8317
t = 8.2828, j = 904.3664, k = 242.3244
t = 8.3838, j = 983.4780, k = 263.5222
t = 8.4848, j = 1069.5100, k = 286.5744
t = 8.5859, j = 1163.0678, k = 311.6432
t = 8.6869, j = 1264.8099, k = 338.9049
t = 8.7879, j = 1375.4521, k = 368.5513
t = 8.8889, j = 1495.7729, k = 400.7912
t = 8.9899, j = 1626.6191, k = 435.8513
t = 9.0909, j = 1768.9114, k = 473.9784
t = 9.1919, j = 1923.6510, k = 515.4408
t = 9.2929, j = 2091.9268, k = 560.5301
t = 9.3939, j = 2274.9229, k = 609.5638
t = 9.4949, j = 2473.9271, k = 662.8868
t = 9.5960, j = 2690.3395, k = 720.8743
t = 9.6970, j = 2925.6832, k = 783.9345
t = 9.7980, j = 3181.6141, k = 852.5110
t = 9.8990, j = 3459.9332, k = 927.0863
t = 10.0000, j = 3762.5988, k = 1008.1853
