x[0] = 0.0,  y = 10000.000000
x[1] = 0.5,  y = 10382.031250
x[2] = 1.0,  y = 10778.657288
x[3] = 1.5,  y = 11190.435679
x[4] = 2.0,  y = 11617.945292
x[5] = 2.5,  y = 12061.787109
x[6] = 3.0,  y = 12522.585069
x[7] = 3.5,  y = 13000.986952
x[8] = 4.0,  y = 13497.665282
x[9] = 4.5,  y = 14013.318276
x[10] = 5.0,  y = 14548.670825
x[11] = 5.5,  y = 15104.475515
x[12] = 6.0,  y = 15681.513682
x[13] = 6.5,  y = 16280.596509
x[14] = 7.0,  y = 16902.566172
x[15] = 7.5,  y = 17548.297021
x[16] = 8.0,  y = 18218.696805
x[17] = 8.5,  y = 18914.707957
x[18] = 9.0,  y = 19637.308909
x[19] = 9.5,  y = 20387.515476
x[20] = 10.0,  y = 21166.382278
x[21] = 10.5,  y = 21975.004226
x[22] = 11.0,  y = 22814.518060
x[23] = 11.5,  y = 23686.103945
x[24] = 12.0,  y = 24590.987135
x[25] = 12.5,  y = 25530.439690
x[26] = 13.0,  y = 26505.782269
x[27] = 13.5,  y = 27518.385982
x[28] = 14.0,  y = 28569.674322
x[29] = 14.5,  y = 29661.125161
x[30] = 15.0,  y = 30794.272833
x[31] = 15.5,  y = 31970.710287
x[32] = 16.0,  y = 33192.091329
x[33] = 16.5,  y = 34460.132943
x[34] = 17.0,  y = 35776.617709
x[35] = 17.5,  y = 37143.396308
x[36] = 18.0,  y = 38562.390120
x[37] = 18.5,  y = 40035.593930
x[38] = 19.0,  y = 41565.078729
        ...
x[39] = 19.5,  y = 43152.994627
x[40] = 20.0,  y = 44801.573875
